,model,dataset_key,augmentation,param1_name,param1_value,param2_name,param2_value,BeetleFly,CinCECGTorso,ECG5000,FiftyWords,Ham,MoteStrain,OliveOil,PhalangesOutlinesCorrect,ScreenType,ShapesAll,,,,,,,,,,,
128,minirocket,3,wdba,batch_size,3,,,0.85,,0.958,0.835,0.79,0.978,0.867,0.838,0.501,0.905,,,,,,,,,,,
129,minirocket,3,wdba,batch_size,4,,,0.9,,0.96,0.877,0.79,0.984,0.867,0.838,0.472,0.897,,,,,,,,,,,
130,minirocket,3,wdba,batch_size,5,,,0.75,,0.964,0.899,0.743,0.934,1,0.861,0.565,0.9,,,,,,,,,,,
131,minirocket,3,wdba,batch_size,6,,,0.65,,0.96,0.859,0.867,0.989,1,0.879,0.555,0.878,,,,,,,,,,,
132,minirocket,3,wdba,batch_size,7,,,0.85,,0.965,0.886,0.857,0.993,1,0.889,0.547,0.89,,,,,,,,,,,
133,minirocket,3,wdba,batch_size,8,,,0.95,,0.966,0.905,0.724,0.992,1,0.879,0.499,0.865,,,,,,,,,,,
134,minirocket,3,wdba,batch_size,9,,,1,,0.961,0.888,0.838,0.984,1,0.872,0.621,0.84,,,,,,,,,,,
135,minirocket,3,wdba,batch_size,10,,,1,,0.955,0.875,0.829,0.946,1,0.872,0.573,0.867,,,,,,,,,,,
136,minirocket,3,wdba,batch_size,11,,,1,,0.971,0.864,0.848,0.933,1,0.873,0.627,0.85,,,,,,,,,,,
137,minirocket,3,wdba,batch_size,12,,,1,,0.956,0.864,0.781,0.94,1,0.89,0.643,0.85,,,,,,,,,,,
138,minirocket,3,discriminative_guided_warp,batch_size,1,,,0.75,0.681,0.939,0.721,0.79,0.908,0.567,0.746,0.493,0.872,,,,,,,,,,,
139,minirocket,3,discriminative_guided_warp,batch_size,2,,,1,0.722,0.942,0.725,0.762,0.899,0.567,0.744,0.432,0.89,,,,,,,,,,,
140,minirocket,3,discriminative_guided_warp,batch_size,3,,,0.8,0.687,0.941,0.684,0.771,0.903,0.733,0.747,0.472,0.882,,,,,,,,,,,
141,minirocket,3,discriminative_guided_warp,batch_size,4,,,0.9,0.724,0.942,0.701,0.8,0.904,0.6,0.804,0.448,0.883,,,,,,,,,,,
142,minirocket,3,discriminative_guided_warp,batch_size,5,,,0.65,0.681,0.939,0.723,0.857,0.906,0.667,0.765,0.451,0.873,,,,,,,,,,,
143,minirocket,3,discriminative_guided_warp,batch_size,6,,,0.85,0.695,0.943,0.714,0.8,0.91,0.667,0.753,0.427,0.883,,,,,,,,,,,
144,minirocket,3,discriminative_guided_warp,batch_size,7,,,,,,,,,,,,,,,,,,,,,,,
145,minirocket,3,discriminative_guided_warp,batch_size,8,,,,,,,,,,,,,,,,,,,,,,,
146,minirocket,3,discriminative_guided_warp,batch_size,9,,,,,,,,,,,,,,,,,,,,,,,
147,minirocket,3,discriminative_guided_warp,batch_size,10,,,,,,,,,,,,,,,,,,,,,,,
148,minirocket,3,discriminative_guided_warp,batch_size,11,,,,,,,,,,,,,,,,,,,,,,,
149,minirocket,3,discriminative_guided_warp,batch_size,12,,,,,,,,,,,,,,,,,,,,,,,
150,minirocket,3,window_warp_wdba,window_ratio,0.1,batch_size,2,0.85,,0.944,0.754,0.657,0.918,0.2,0.704,0.395,0.817,,,,,,,,,,,
151,minirocket,3,window_warp_wdba,window_ratio,0.2,batch_size,2,0.65,,0.939,0.697,0.676,0.93,0.533,0.697,0.419,0.725,,,,,,,,,,,
152,minirocket,3,window_warp_wdba,window_ratio,0.3,batch_size,2,0.7,,0.941,0.604,0.733,0.879,0.367,0.702,0.416,0.655,,,,,,,,,,,
153,minirocket,3,window_warp_wdba,window_ratio,0.4,batch_size,2,0.95,,0.932,0.613,0.571,0.853,0.267,0.711,0.445,0.67,,,,,,,,,,,
154,minirocket,3,window_warp_wdba,window_ratio,0.5,batch_size,2,0.7,,0.939,0.598,0.6,0.87,0.3,0.716,0.509,0.688,,,,,,,,,,,
155,minirocket,3,window_warp_wdba,window_ratio,0.6,batch_size,2,1,,0.937,0.633,0.638,0.879,0.5,0.674,0.443,0.687,,,,,,,,,,,
156,minirocket,3,window_warp_wdba,window_ratio,0.7,batch_size,2,0.75,,0.932,0.642,0.714,0.768,0.267,0.714,0.416,0.673,,,,,,,,,,,
157,minirocket,3,window_warp_wdba,window_ratio,0.8,batch_size,2,0.7,,0.936,0.734,0.667,0.909,0.3,0.74,0.44,0.752,,,,,,,,,,,
158,minirocket,3,window_warp_wdba,window_ratio,0.9,batch_size,2,0.85,,0.94,0.776,0.705,0.927,0.567,0.766,0.483,0.838,,,,,,,,,,,
159,minirocket,3,window_warp_wdba,window_ratio,0.1,batch_size,6,0.95,,0.962,0.754,0.819,0.986,0.433,0.783,0.509,0.835,,,,,,,,,,,
160,minirocket,3,window_warp_wdba,window_ratio,0.2,batch_size,6,1,,0.96,0.723,0,0,0,0.77,0.507,0,,,,,,,,,,,
161,minirocket,3,window_warp_wdba,window_ratio,0.3,batch_size,6,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,
162,minirocket,3,window_warp_wdba,window_ratio,0.4,batch_size,6,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,
163,minirocket,3,window_warp_wdba,window_ratio,0.5,batch_size,6,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,
164,minirocket,3,window_warp_wdba,window_ratio,0.6,batch_size,6,0.8,,0.956,0.644,0.762,0.968,0.333,0.718,0.411,0.62,,,,,,,,,,,
165,minirocket,3,window_warp_wdba,window_ratio,0.7,batch_size,6,0.75,,0.957,0.607,0.8,0.981,0.133,0.746,0.496,0.678,,,,,,,,,,,
166,minirocket,3,window_warp_wdba,window_ratio,0.8,batch_size,6,0.7,,0.955,0.747,0.705,0.975,0.267,0.788,0.533,0.713,,,,,,,,,,,
167,minirocket,3,window_warp_wdba,window_ratio,0.9,batch_size,6,0.8,,0.954,0.787,0.771,0.995,0.267,0.817,0.477,0.865,,,,,,,,,,,
168,minirocket,3,window_slice_wdba,reduce_ratio,0.1,batch_size,6,,,,,,,,,,,,,,,,,,,,,
169,minirocket,3,window_slice_wdba,reduce_ratio,0.2,batch_size,6,,,,,,,,,,,,,,,,,,,,,
170,minirocket,3,window_slice_wdba,reduce_ratio,0.3,batch_size,6,,,,,,,,,,,,,,,,,,,,,
171,minirocket,3,window_slice_wdba,reduce_ratio,0.4,batch_size,6,,,,,,,,,,,,,,,,,,,,,
172,minirocket,3,window_slice_wdba,reduce_ratio,0.5,batch_size,6,,,,,,,,,,,,,,,,,,,,,
173,minirocket,3,window_slice_wdba,reduce_ratio,0.6,batch_size,6,,,,,,,,,,,,,,,,,,,,,
174,minirocket,3,window_slice_wdba,reduce_ratio,0.7,batch_size,6,,,,,,,,,,,,,,,,,,,,,
175,minirocket,3,window_slice_wdba,reduce_ratio,0.8,batch_size,6,,,,,,,,,,,,,,,,,,,,,
176,minirocket,3,window_slice_wdba,reduce_ratio,0.9,batch_size,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
